"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",@babel/runtime-corejs3:7.17.2,/github/workspace/package-lock.json?aria-query:4.2.2/@babel/runtime-corejs3:^7.10.2,babel's modular runtime helpers with core-js@3 polyfilling,MIT,"","",pkg:npm/%40babel%2Fruntime-corejs3@7.17.2,"",GHSA-968p-4wvh-cqc8,CWE-1333 Inefficient Regular Expression Complexity,"### Impact  When using Babel to compile [regular expression named capturing groups](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Regular_expressions/Named_capturing_group), Babel will generate a polyfill for the `.replace` method that has quadratic complexity on some specific replacement pattern strings (i.e. the second argument passed to `.replace`).  Your generated code is vulnerable if _all_ the following conditions are true: - You use Babel to compile [regular expression named capturing groups](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Regular_expressions/Named_capturing_group) - You use the `.replace` method on a regular expression that contains named capturing groups - **Your code uses untrusted strings as the second argument of `.replace`**  If you are using `@babel/preset-env` with the [`targets`](https://babeljs.io/docs/options#targets) option, the transform that injects the vulnerable code is automatically enabled if: - you use [_duplicated_ named capturing groups](https://github.com/tc39/proposal-duplicate-named-capturing-groups), and target any browser older than Chrome/Edge 126, Opera 112, Firefox 129, Safari 17.4, or Node.js 23 - you use any [named capturing groups](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Regular_expressions/Named_capturing_group), and target any browser older than Chrome 64, Opera 71, Edge 79, Firefox 78, Safari 11.1, or Node.js 10  You can verify what transforms `@babel/preset-env` is using by enabling the [`debug` option](https://babeljs.io/docs/babel-preset-env#debug).   ### Patches  This problem has been fixed in `@babel/helpers` and `@babel/runtime` 7.26.10 and 8.0.0-alpha.17, please upgrade. It's likely that you do not directly depend on `@babel/helpers`, and instead you depend on `@babel/core` (which itself depends on `@babel/helpers`). Upgrading to `@babel/core` 7.26.10 is not required, but it guarantees that you are on a new enough `@babel/helpers` version.  Please note that just updating your Babel dependencies is not enough: you will also need to re-compile your code.  ### Workarounds  If you are passing user-provided strings as the second argument of `.replace` on regular expressions that contain named capturing groups, validate the input and make sure it does not contain the substring `$<` if it's then not followed by `>` (possibly with other characters in between).  ### References  This vulnerability was reported and fixed in https://github.com/babel/babel/pull/17173.",NPM,"","","",MEDIUM,6.199999809265137,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,6,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",@babel/runtime:7.17.2,/github/workspace/package-lock.json?react-focus-lock:2.5.2/@babel/runtime:^7.0.0,babel's modular runtime helpers,MIT,"","",pkg:npm/%40babel%2Fruntime@7.17.2,"",GHSA-968p-4wvh-cqc8,CWE-1333 Inefficient Regular Expression Complexity,"### Impact  When using Babel to compile [regular expression named capturing groups](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Regular_expressions/Named_capturing_group), Babel will generate a polyfill for the `.replace` method that has quadratic complexity on some specific replacement pattern strings (i.e. the second argument passed to `.replace`).  Your generated code is vulnerable if _all_ the following conditions are true: - You use Babel to compile [regular expression named capturing groups](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Regular_expressions/Named_capturing_group) - You use the `.replace` method on a regular expression that contains named capturing groups - **Your code uses untrusted strings as the second argument of `.replace`**  If you are using `@babel/preset-env` with the [`targets`](https://babeljs.io/docs/options#targets) option, the transform that injects the vulnerable code is automatically enabled if: - you use [_duplicated_ named capturing groups](https://github.com/tc39/proposal-duplicate-named-capturing-groups), and target any browser older than Chrome/Edge 126, Opera 112, Firefox 129, Safari 17.4, or Node.js 23 - you use any [named capturing groups](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Regular_expressions/Named_capturing_group), and target any browser older than Chrome 64, Opera 71, Edge 79, Firefox 78, Safari 11.1, or Node.js 10  You can verify what transforms `@babel/preset-env` is using by enabling the [`debug` option](https://babeljs.io/docs/babel-preset-env#debug).   ### Patches  This problem has been fixed in `@babel/helpers` and `@babel/runtime` 7.26.10 and 8.0.0-alpha.17, please upgrade. It's likely that you do not directly depend on `@babel/helpers`, and instead you depend on `@babel/core` (which itself depends on `@babel/helpers`). Upgrading to `@babel/core` 7.26.10 is not required, but it guarantees that you are on a new enough `@babel/helpers` version.  Please note that just updating your Babel dependencies is not enough: you will also need to re-compile your code.  ### Workarounds  If you are passing user-provided strings as the second argument of `.replace` on regular expressions that contain named capturing groups, validate the input and make sure it does not contain the substring `$<` if it's then not followed by `>` (possibly with other characters in between).  ### References  This vulnerability was reported and fixed in https://github.com/babel/babel/pull/17173.",NPM,"","","",MEDIUM,6.199999809265137,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,7,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",@google-cloud/firestore:4.15.1,/github/workspace/functions/package-lock.json?@google-cloud/firestore,"","","","",pkg:npm/%40google-cloud%2Ffirestore@4.15.1,"",GHSA-4g6q-77j7-vvjc,"CWE-532 Insertion of Sensitive Information into Log File, CWE-922 Insecure Storage of Sensitive Information",A potential logging of the firestore key via logging within nodejs-firestore exists - Developers who were logging objects through this._settings would be logging the firestore key as well potentially exposing it to anyone with logs read access. We recommend upgrading to version 6.1.0 to avoid this issue,NPM,"","","",MEDIUM,4.0,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:H/I:N/A:N,"","","",HIGHEST,3,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",@grpc/grpc-js:1.5.7,/github/workspace/functions/package-lock.json?@grpc/grpc-js,"","","","",pkg:npm/%40grpc%2Fgrpc-js@1.5.7,"",GHSA-7v5v-9h63-cj86,CWE-789 Memory Allocation with Excessive Size Value,"### Impact There are two separate code paths in which memory can be allocated per message in excess of the `grpc.max_receive_message_length` channel option:   1. If an incoming message has a size on the wire greater than the configured limit, the entire message is buffered before it is discarded.  2. If an incoming message has a size within the limit on the wire but decompresses to a size greater than the limit, the entire message is decompressed into memory, and on the server is not discarded.  ### Patches  This has been patched in versions 1.10.9, 1.9.15, and 1.8.22",NPM,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,"","","",HIGHEST,3,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",body-parser:1.19.2,/github/workspace/package-lock.json?express:4.17.3/body-parser:1.19.2,Node.js body parsing middleware,MIT,"","",pkg:npm/body-parser@1.19.2,"",CVE-2024-45590,CWE-405 Asymmetric Resource Consumption (Amplification),"body-parser is Node.js body parsing middleware. body-parser <1.20.3 is vulnerable to denial of service when url encoding is enabled. A malicious actor using a specially crafted payload could flood the server with a large number of requests, resulting in denial of service. This issue is patched in 1.20.3.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2024-45590 for details",OSSINDEX,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,5,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",body-parser:1.19.2,/github/workspace/package-lock.json?express:4.17.3/body-parser:1.19.2,Node.js body parsing middleware,MIT,"","",pkg:npm/body-parser@1.19.2,"",GHSA-qwcr-r2fm-qrc7,CWE-405 Asymmetric Resource Consumption (Amplification),"### Impact  body-parser <1.20.3 is vulnerable to denial of service when url encoding is enabled. A malicious actor using a specially crafted payload could flood the server with a large number of requests, resulting in denial of service.  ### Patches  this issue is patched in 1.20.3  ### References",NPM,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,5,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",brace-expansion:1.1.11,/github/workspace/package-lock.json?minimatch:3.1.2/brace-expansion:^1.1.7,Brace expansion as known from sh/bash,MIT,"","",pkg:npm/brace-expansion@1.1.11,cpe:2.3:a:brace_expansion_project:brace_expansion:1.1.11:*:*:*:*:*:*:*,CVE-2025-5889,CWE-1333 Inefficient Regular Expression Complexity,"A vulnerability was found in juliangruber brace-expansion up to 1.1.11/2.0.1/3.0.0/4.0.0. It has been rated as problematic. Affected by this issue is the function expand of the file index.js. The manipulation leads to inefficient regular expression complexity. The attack may be launched remotely. The complexity of an attack is rather high. The exploitation is known to be difficult. The exploit has been disclosed to the public and may be used. Upgrading to version 1.1.12, 2.0.2, 3.0.1 and 4.0.1 is able to address this issue. The name of the patch is a5b98a4f30d7813266b221435e1eaaf25a1b0ac5. It is recommended to upgrade the affected component.",OSSINDEX,MEDIUM,6.0,CVSS:4.0/AV:N/AC:H/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"","","","","","",HIGHEST,9,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",brace-expansion:1.1.11,/github/workspace/package-lock.json?minimatch:3.1.2/brace-expansion:^1.1.7,Brace expansion as known from sh/bash,MIT,"","",pkg:npm/brace-expansion@1.1.11,cpe:2.3:a:brace_expansion_project:brace_expansion:1.1.11:*:*:*:*:*:*:*,GHSA-v6h2-p8h4-qcjw,CWE-400 Uncontrolled Resource Consumption,"A vulnerability was found in juliangruber brace-expansion up to 1.1.11/2.0.1/3.0.0/4.0.0. It has been rated as problematic. Affected by this issue is the function expand of the file index.js. The manipulation leads to inefficient regular expression complexity. The attack may be launched remotely. The complexity of an attack is rather high. The exploitation is known to be difficult. The exploit has been disclosed to the public and may be used. Upgrading to version 1.1.12, 2.0.2, 3.0.1 and 4.0.1 is able to address this issue. The name of the patch is `a5b98a4f30d7813266b221435e1eaaf25a1b0ac5`. It is recommended to upgrade the affected component.",NPM,"","","",LOW,3.0999999046325684,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,"","","",HIGHEST,9,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",braces:3.0.2,/github/workspace/package-lock.json?micromatch:4.0.4/braces:^3.0.1,"Bash-like brace expansion, implemented in JavaScript. Safer than other brace expansion libs, with complete support for the Bash 4.3 braces specification, without sacrificing speed.",MIT,"","",pkg:npm/braces@3.0.2,cpe:2.3:a:braces_project:braces:3.0.2:*:*:*:*:*:*:*,CVE-2024-4068,CWE-1050 Excessive Platform Resource Consumption within a Loop,"The NPM package `braces`, versions prior to 3.0.3, fails to limit the number of characters it can handle, which could lead to Memory Exhaustion. In `lib/parse.js,` if a malicious user sends ""imbalanced braces"" as input, the parsing will enter a loop, which will cause the program to start allocating heap memory without freeing it at any moment of the loop. Eventually, the JavaScript heap limit is reached, and the program will crash.",OSSINDEX,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,8,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",braces:3.0.2,/github/workspace/package-lock.json?micromatch:4.0.4/braces:^3.0.1,"Bash-like brace expansion, implemented in JavaScript. Safer than other brace expansion libs, with complete support for the Bash 4.3 braces specification, without sacrificing speed.",MIT,"","",pkg:npm/braces@3.0.2,cpe:2.3:a:braces_project:braces:3.0.2:*:*:*:*:*:*:*,GHSA-grv7-fg5c-xmjg,"CWE-400 Uncontrolled Resource Consumption, CWE-1050 Excessive Platform Resource Consumption within a Loop","The NPM package `braces` fails to limit the number of characters it can handle, which could lead to Memory Exhaustion. In `lib/parse.js,` if a malicious user sends ""imbalanced braces"" as input, the parsing will enter a loop, which will cause the program to start allocating heap memory without freeing it at any moment of the loop. Eventually, the JavaScript heap limit is reached, and the program will crash.",NPM,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,8,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",cookie:0.4.2,/github/workspace/package-lock.json?nookies:2.5.2/cookie:^0.4.1,HTTP server cookie parsing and serialization,MIT,"","",pkg:npm/cookie@0.4.2,"",CVE-2024-47764,CWE-74 Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),"cookie is a basic HTTP cookie parser and serializer for HTTP servers. The cookie name could be used to set other fields of the cookie, resulting in an unexpected cookie value. A similar escape can be used for path and domain, which could be abused to alter other fields of the cookie. Upgrade to 0.7.0, which updates the validation for name, path, and domain.",OSSINDEX,MEDIUM,6.900000095367432,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,"","","","","","",HIGHEST,6,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",cookie:0.4.2,/github/workspace/package-lock.json?nookies:2.5.2/cookie:^0.4.1,HTTP server cookie parsing and serialization,MIT,"","",pkg:npm/cookie@0.4.2,"",GHSA-pxg6-pf52-xh8x,CWE-74 Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),"### Impact  The cookie name could be used to set other fields of the cookie, resulting in an unexpected cookie value. For example, `serialize(""userName=<script>alert('XSS3')</script>; Max-Age=2592000; a"", value)` would result in `""userName=<script>alert('XSS3')</script>; Max-Age=2592000; a=test""`, setting `userName` cookie to `<script>` and ignoring `value`.  A similar escape can be used for `path` and `domain`, which could be abused to alter other fields of the cookie.  ### Patches  Upgrade to 0.7.0, which updates the validation for `name`, `path`, and `domain`.  ### Workarounds  Avoid passing untrusted or arbitrary values for these fields, ensure they are set by the application instead of user input.  ### References  * https://github.com/jshttp/cookie/pull/167",NPM,"","","","","","","","","",HIGHEST,6,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",cross-spawn:7.0.3,/github/workspace/package-lock.json?eslint:8.10.0/cross-spawn:^7.0.2,Cross platform child_process#spawn and child_process#spawnSync,MIT,"","",pkg:npm/cross-spawn@7.0.3,"",CVE-2024-21538,CWE-1333 Inefficient Regular Expression Complexity,"Versions of the package cross-spawn before 6.0.6, from 7.0.0 and before 7.0.5 are vulnerable to Regular Expression Denial of Service (ReDoS) due to improper input sanitization. An attacker can increase the CPU usage and crash the program by crafting a very large and well crafted string.",OSSINDEX,HIGH,8.699999809265137,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"","","","","","",HIGHEST,7,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",cross-spawn:7.0.3,/github/workspace/package-lock.json?eslint:8.10.0/cross-spawn:^7.0.2,Cross platform child_process#spawn and child_process#spawnSync,MIT,"","",pkg:npm/cross-spawn@7.0.3,"",GHSA-3xgq-45jj-v275,CWE-1333 Inefficient Regular Expression Complexity,Versions of the package cross-spawn before 7.0.5 are vulnerable to Regular Expression Denial of Service (ReDoS) due to improper input sanitization. An attacker can increase the CPU usage and crash the program by crafting a very large and well crafted string.,NPM,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,7,"","","","","","","",""
laboratorio-final-devsecops,"Mon, 7 Jul 2025 03:45:46 GMT",dicer:0.3.1,/github/workspace/functions/package-lock.json?dicer,"","","","",pkg:npm/dicer@0.3.1,"",GHSA-wm7h-9275-46v2,CWE-248 Uncaught Exception,This affects all versions of the package `dicer`. A malicious attacker can send a modified form to the server and crash the Node.js service. A complete denial of service can be achieved by sending the malicious form in a loop.,NPM,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGHEST,3,"","","","","","","",""
